"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @shaliniscribe: Priviledged business tycoon #RobertVadra applies for anticipatory bail; qualifies for grand entry into freshly formed, h…",FALSE,0,NA,2019-02-07 04:54:21,FALSE,NA,"1093372369748574208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tacittushar",791,TRUE,FALSE,NA,NA
"2","RT @Sonam_Chaudhri: #MahaBrashtBandhan
This Video has a separate fan club  of thug voters . #Mahagathbandhan explained ironically <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https:…",FALSE,0,NA,2019-02-07 04:54:06,FALSE,NA,"1093372306531860481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rita_2110",17,TRUE,FALSE,NA,NA
"3","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:52:10,FALSE,NA,"1093371820781101056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TapanP1957",37,TRUE,FALSE,NA,NA
"4","RT @Sonam_Chaudhri: #MahaBrashtBandhan
This Video has a separate fan club  of thug voters . #Mahagathbandhan explained ironically <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https:…",FALSE,0,NA,2019-02-07 04:44:37,FALSE,NA,"1093369920677502976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Indira19240204",17,TRUE,FALSE,NA,NA
"5","RT @InstantKarmaaa: Latest News: Diaper supply in #MahaBhrashtBandhan at all time high.

Earlier it was only #Pappu #RahulGandhi that neede…",FALSE,0,NA,2019-02-07 04:43:45,FALSE,NA,"1093369700262719489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chitranayal09",2,TRUE,FALSE,NA,NA
"6","RT @Singh724Rajput: Leadership is not about the feeding own, it's about the next generation, it's about the feeding and serving whole natio…",FALSE,0,NA,2019-02-07 04:43:44,FALSE,NA,"1093369698547167233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","the_guiders",2,TRUE,FALSE,NA,NA
"7","RT @Singh724Rajput: Whom are you going to vote in 2019??

#biggestcampaign by youth of India ever

#bjp #congress #mahagathbandhan #Electio…",FALSE,0,NA,2019-02-07 04:42:52,FALSE,NA,"1093369478316929029",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","the_guiders",2,TRUE,FALSE,NA,NA
"8","On one side we have people sacrificing their families for the Nation  #NaMoAgain  and other side we have people sac… https://t.co/JLhXoqK13H",FALSE,0,NA,2019-02-07 04:40:22,TRUE,NA,"1093368850593153024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijaydigge",0,FALSE,FALSE,NA,NA
"9","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:38:17,FALSE,NA,"1093368325172678656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arunprasathtwit",37,TRUE,FALSE,NA,NA
"10","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:34:49,FALSE,NA,"1093367452300337153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raji7373",37,TRUE,FALSE,NA,NA
"11","RT @Singh724Rajput: Leadership is not about the feeding own, it's about the next generation, it's about the feeding and serving whole natio…",FALSE,0,NA,2019-02-07 04:33:17,FALSE,NA,"1093367069607772161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Monukus25190346",2,TRUE,FALSE,NA,NA
"12","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:31:33,FALSE,NA,"1093366631445671936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vel_jaya",37,TRUE,FALSE,NA,NA
"13","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:31:19,FALSE,NA,"1093366572968628224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kunallchauhan",37,TRUE,FALSE,NA,NA
"14","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:26:17,FALSE,NA,"1093365306897170432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabru_gabbar",37,TRUE,FALSE,NA,NA
"15","RT @daniket01: We should call them #ThugBandhan rather than #MahaGathbandhan or #MahaBhrashtBandhan.
Its neither for democracy nor for Indi…",FALSE,0,NA,2019-02-07 04:24:00,FALSE,NA,"1093364733825081344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drmonika_langeh",1,TRUE,FALSE,NA,NA
"16","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:20:45,FALSE,NA,"1093363912064393218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Upen87510286",37,TRUE,FALSE,NA,NA
"17","RT @shaliniscribe: Priviledged business tycoon #RobertVadra applies for anticipatory bail; qualifies for grand entry into freshly formed, h…",FALSE,0,NA,2019-02-07 04:20:27,FALSE,NA,"1093363840102866944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nayanchandra",791,TRUE,FALSE,NA,NA
"18","We should call them #ThugBandhan rather than #MahaGathbandhan or #MahaBhrashtBandhan.
Its neither for democracy nor… https://t.co/KNV4zLTNjA",FALSE,0,NA,2019-02-07 04:19:25,TRUE,NA,"1093363576662716417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daniket01",1,FALSE,FALSE,NA,NA
"19","@republic @ArvindKejriwal wrong if you vote for #BJP  #Mahagathbandhan will crash forever so #Vote wisely chose the… https://t.co/KFsrCrwoQE",FALSE,0,"republic",2019-02-07 04:17:20,TRUE,"1093356524108361729","1093363055726116864","811972460560019456","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iiirdi",0,FALSE,FALSE,NA,NA
"20","RT @ShahnawazBJP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",FALSE,0,NA,2019-02-07 04:13:43,FALSE,NA,"1093362144568066049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IrfanMalikMali6",196,TRUE,FALSE,NA,NA
"21","RT @shaliniscribe: Priviledged business tycoon #RobertVadra applies for anticipatory bail; qualifies for grand entry into freshly formed, h…",FALSE,0,NA,2019-02-07 04:13:01,FALSE,NA,"1093361967446671361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PratushSayan",791,TRUE,FALSE,NA,NA
"22","RT @shaliniscribe: Priviledged business tycoon #RobertVadra applies for anticipatory bail; qualifies for grand entry into freshly formed, h…",FALSE,0,NA,2019-02-07 04:12:40,FALSE,NA,"1093361877780967424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DangayachAkshit",791,TRUE,FALSE,NA,NA
"23","Still you can unite the opposition in Jail<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #Election2019 #mahagathbandhan https://t.co/AAcW1LDtUe",FALSE,1,NA,2019-02-07 04:07:46,FALSE,NA,"1093360647654465536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmithHosmar",0,FALSE,FALSE,NA,NA
"24","RT @SinghPiyush_: This Video has a separate fan club  of thug voters . #Mahagathbandhan explained ironically <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
@TajinderBagga @RajatSethi8…",FALSE,0,NA,2019-02-07 04:04:38,FALSE,NA,"1093359856541683712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarjivanSoalnk1",44,TRUE,FALSE,NA,NA
"25","RT @shaliniscribe: Priviledged business tycoon #RobertVadra applies for anticipatory bail; qualifies for grand entry into freshly formed, h…",FALSE,0,NA,2019-02-07 04:03:12,FALSE,NA,"1093359496527835137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abhaytewari1964",791,TRUE,FALSE,NA,NA
"26","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 04:02:39,FALSE,NA,"1093359357482299392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salilajay",37,TRUE,FALSE,NA,NA
"27","RT @shaliniscribe: Priviledged business tycoon #RobertVadra applies for anticipatory bail; qualifies for grand entry into freshly formed, h…",FALSE,0,NA,2019-02-07 03:56:51,FALSE,NA,"1093357897499791361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PanickerUma",791,TRUE,FALSE,NA,NA
"28","RT @goyalsanjeev: So @MamataOfficial stands with #RobertVadra and calls his questioning by ED as an attempt to break #Mahagathbandhan<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>

Pap…",FALSE,0,NA,2019-02-07 03:56:37,FALSE,NA,"1093357841874866177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alpine1290",37,TRUE,FALSE,NA,NA
