"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SyedNaimNaqvi @merinews Appreciate your write up, feelings,views n inclinations. But just want to say don't you th… https://t.co/yrNq4ODM0s",FALSE,0,"SyedNaimNaqvi",2018-12-11 12:14:32,TRUE,"1072463687011721216","1072464650715975681","835469592","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tina_acharya",0,FALSE,FALSE,NA,NA
"2","RT @JaiveerShergill: Clip from my speech at the #CongressPlenarySession how #BJP #Modi Govt has killed the Indian Economy “Acche Din Aane W…",FALSE,0,NA,2018-12-11 12:13:29,FALSE,NA,"1072464386994905088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sohai83480996",445,TRUE,FALSE,NA,NA
"3","RT @sadiquiz: Three (not two) cheers for #RahulGandhi and a big lesson for #Modi. @BobbyNaqvi strikes: In short, the results show, the BJP’…",FALSE,0,NA,2018-12-11 12:13:21,FALSE,NA,"1072464352224137217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","democraticmen",7,TRUE,FALSE,NA,NA
"4","@ArvindKejriwal @ArvindKejriwal sir I believe India is a democratic country...
Sir it was never #Modi Raaj or… https://t.co/Tkq5W3099S",FALSE,0,"ArvindKejriwal",2018-12-11 12:13:04,TRUE,"1072458124727062529","1072464281868881921","405427035","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deepakmahato",0,FALSE,FALSE,NA,NA
"5","RT @NH_India: Though #Modi promised a #Congress-mukt Bharat, but the #election results in the 5 #states are showing an increasing trend tow…",FALSE,0,NA,2018-12-11 12:12:40,FALSE,NA,"1072464178236002304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osan_adil",5,TRUE,FALSE,NA,NA
"6","The way meetings keep happening between #Modi and #PriyankaChopra, definitely their media managers belong to the same #Agency!",FALSE,0,NA,2018-12-11 12:10:42,FALSE,NA,"1072463685073940480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KaramLamba",0,FALSE,FALSE,NA,NA
"7","@iam_Sharpp_ @khushsundar @PriyaNashmikar @INCIndia @JAslamBasha @INCTamilNadu Though #Modi promised a #Congress-mu… https://t.co/1GHOEQTZB6",FALSE,2,"iam_Sharpp_",2018-12-11 12:10:26,TRUE,"1072409966630318080","1072463618313256961","2593153622","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","its_mahaoffc",0,FALSE,FALSE,NA,NA
"8","Also #Modi .... https://t.co/q5OHUZf5sy",FALSE,0,NA,2018-12-11 12:10:16,FALSE,NA,"1072463574944108544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RizviSalim",0,FALSE,FALSE,NA,NA
"9","RT @Thesureshsharma: If @BJP4India loses any of 3 states.

Then #Seculars &amp; liberals will say: ITS THE END OF #Modi WAVE

nd if #Congress l…",FALSE,0,NA,2018-12-11 12:09:27,FALSE,NA,"1072463372199886851",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Service_change",198,TRUE,FALSE,NA,NA
"10","We won 3/3 states in 2003, lost country in 2004..
We won 2/3 states in 2008, lost country in 2009..
We won 3/3 stat… https://t.co/7P0NEJQVYb",FALSE,2,NA,2018-12-11 12:09:01,TRUE,NA,"1072463261348577280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Soliloquyist",0,FALSE,FALSE,NA,NA
