"","x"
"1","  Appreciate your write up  feelings views n inclinations  But just want to say don t you th  "
"2","   Clip from my speech at the  CongressPlenarySession how  BJP  Modi Govt has killed the Indian Economy  Acche Din Aane W "
"3","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"4","  sir I believe India is a democratic country    Sir it was never  Modi Raaj or  "
"5","   Though  Modi promised a  Congress mukt Bharat  but the  election results in the 5  states are showing an increasing trend tow "
"6","The way meetings keep happening between  Modi and  PriyankaChopra  definitely their media managers belong to the same  Agency "
"7","      Though  Modi promised a  Congress mu  "
"8","Also  Modi      "
"9","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"10","We won 3 3 states in 2003  lost country in 2004   We won 2 3 states in 2008  lost country in 2009   We won 3 3 stat  "
"11","   Though  Modi promised a  Congress mukt Bharat  but the  election results in the 5  states are showing an increasing trend tow "
"12","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"13"," Modi posh machine to all  LPG  vendors common man the basic the food to eat"
"14","   Though  Modi promised a  Congress mukt Bharat  but the  election results in the 5  states are showing an increasing trend tow "
"15","   Though  Modi promised a  Congress mukt Bharat  but the  election results in the 5  states are showing an increasing trend tow "
"16","Though  Modi promised a  Congress mukt Bharat  but the  election results in the 5  states are showing an increasing  "
"17","   Beginning of the end  BJP  Modi"
"18","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"19","Even after losing  is not ready to accept  Most spokesperson still arrogant  Not able to accept  modi cha  "
"20","Congrats corruption hua hai               Indians have chosen to remain slaves  No  Modi can help them out  Enjoy free rice an  "
"21","Because he took his electoral victories and voters for granted  He took Hindus for granted   Modi "
"22","    BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp  go ho "
"23"," reacts to  AssemblyElections2018 results    says countdown has begun for  Modi government   "
"24"," Modi stares at biggest  election loss since coming to power   "
"25","  Dont to worry about Punjab  Bihar Bengal UP and Adhra etc    bjp Going to win and also  "
"26","And the faster one goes up unscrupulously  the sharper  amp  quicker is the fall   Kaho  Modi kaka kia hai aap ka haal  "
"27","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"28","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"29","   Beginning of the end  BJP  Modi"
"30","     Leader of the World s largest  democracy  Modi has  "
"31","   Leader of the World s largest  democracy  Modi has taken Zero press conference  "
"32","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"33","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"34","   Pic 1   what we see Pic 2  what Rahul Gandhi actually did  RahulGandhi  NarendraModi  modi  bjp  Congress   RajasthanElect "
"35","    BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp  go ho "
"36","Why can t I hear  modi  modi today  It s a result of 4 5 years of an authoritarian Govt  a narcissist who tried to  "
"37"," AssemblyElections2018  BJP  Congress  AajSeTumharaNaam  AajSeIskaNaam  SantaBantaMemes  FunnyMemes  politics  "
"38"," Results2018 Congrats Congress and Rahul Gandhi as he is the party president  Many congratulations    "
"39","   Beginning of the end  BJP  Modi"
"40","   The ultimate heart breaker for  Modi  amp  his bhakts    Results2018   MadhyaPradeshElections2018   ElectionResults2018 "
"41","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"42","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"43"," CongressWinsBig Time   RaGa puts  Modi to shame within 1 year of taking over as party president   Deflated56   ModiWavesCrashes"
"44","   Beginning of the end  BJP  Modi"
"45","The ultimate heart breaker for  Modi  amp  his bhakts    Results2018   MadhyaPradeshElections2018   ElectionResults2018 "
"46","Clean  sweep             by congress             in  BJP ruled states              is the beginning of new  ERa n  symptomps of  BJP s defeat in 201  "
