"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @sanjaynirupam: Shocking ! #Modi Govt lied to Chief Justice of India. 
That's we demand #JPCforRafaleScam 
#ChowkidarPureChorHai https:/…",FALSE,0,NA,2018-12-15 06:48:20,FALSE,NA,"1073832108345516032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kunga_bodh",576,TRUE,FALSE,NA,NA
"2","RT @RatanSharda55: But #Modi ji ne kya Kiya... Our friends will ask <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>
https://t.co/TKTxo1MGCt",FALSE,0,NA,2018-12-15 06:47:43,FALSE,NA,"1073831953453985792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irrao",848,TRUE,FALSE,NA,NA
"3","RT @RatanSharda55: But #Modi ji ne kya Kiya... Our friends will ask <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>
https://t.co/TKTxo1MGCt",FALSE,0,NA,2018-12-15 06:47:42,FALSE,NA,"1073831949121216512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akshayc2727",848,TRUE,FALSE,NA,NA
"4","#Modi no longer appears invincible. How the BJP is beginning to lose the narrative | @aakashmehrotra | https://t.co/hKg2S4FJ4p",FALSE,0,NA,2018-12-15 06:47:37,FALSE,NA,"1073831930242719745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ferozwala",0,FALSE,FALSE,NA,NA
"5","RT @RatanSharda55: But #Modi ji ne kya Kiya... Our friends will ask <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>
https://t.co/TKTxo1MGCt",FALSE,0,NA,2018-12-15 06:47:22,FALSE,NA,"1073831865595744256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sachinmaloo",848,TRUE,FALSE,NA,NA
"6","RT @NH_India: #RJD leader Tejashwi Yadav, dared #PrimeMinister Narendra #Modi to form a Joint Parliamentary Committee (JPC) to probe the pu…",FALSE,0,NA,2018-12-15 06:47:14,FALSE,NA,"1073831831890464770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tyagi197",350,TRUE,FALSE,NA,NA
"7","RT @sanjaynirupam: Shocking ! #Modi Govt lied to Chief Justice of India. 
That's we demand #JPCforRafaleScam 
#ChowkidarPureChorHai https:/…",FALSE,0,NA,2018-12-15 06:46:17,FALSE,NA,"1073831592047591424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tyagi197",576,TRUE,FALSE,NA,NA
"8","RT @sanjaynirupam: Shocking ! #Modi Govt lied to Chief Justice of India. 
That's we demand #JPCforRafaleScam 
#ChowkidarPureChorHai https:/…",FALSE,0,NA,2018-12-15 06:45:28,FALSE,NA,"1073831386769997824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PKAgarwal16",576,TRUE,FALSE,NA,NA
"9","RT @drshamamohd: SC has said that it is not the right body to decide #RafaleDeal pricing.

This is the reason @INCIndia has been demanding…",FALSE,0,NA,2018-12-15 06:45:28,FALSE,NA,"1073831386765766657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stanley_chekot",187,TRUE,FALSE,NA,NA
"10","RT @Kasheer_suneel: I have been looking for one news , one positive news for our #BJP since last 3 days couldn’t find one . We just have fo…",FALSE,0,NA,2018-12-15 06:45:25,FALSE,NA,"1073831377634652162",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","hariharan2166",59,TRUE,FALSE,NA,NA
"11","Another lie by the Congress party the panel which leded by Congress leader Itself says HAL infrastructure is not ca… https://t.co/aB3JdxQZQv",FALSE,0,NA,2018-12-15 06:44:11,TRUE,NA,"1073831065431662592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ravi_anonymous",0,FALSE,FALSE,NA,NA
"12","RT @Teloogoo: Akali Dal leaders say Kamal Nath had a hand in #SikhGenocide and Congress makes him CM ? #BJP makes #Modi PM after Gujarat Ge…",FALSE,0,NA,2018-12-15 06:43:45,FALSE,NA,"1073830956530728961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Suraj_kumarr26",14,TRUE,FALSE,NA,NA
"13","One thing I know for sure.Political vendetta is more important for Congress than National Security. Even after SC g… https://t.co/Rx2UL3mXFf",FALSE,0,NA,2018-12-15 06:42:45,TRUE,NA,"1073830703261933569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdityaV87459653",0,FALSE,FALSE,NA,NA
"14","RT @Aabekosar: Even high officials of #RAW working on #BalochistanDesk are fed up with #Modi and his team due to failed policy on #Balochis…",FALSE,0,NA,2018-12-15 06:42:36,FALSE,NA,"1073830668998713344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PakistanJanPak",6,TRUE,FALSE,NA,NA
"15","RT @Aabekosar: Even high officials of #RAW working on #BalochistanDesk are fed up with #Modi and his team due to failed policy on #Balochis…",FALSE,0,NA,2018-12-15 06:42:26,FALSE,NA,"1073830626271420416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndusMike",6,TRUE,FALSE,NA,NA
"16","RT @utkarsh_aanand: Stating that his judgment has been ""misinterpreted"", #Meghalaya HC judge SR Sen issues a clarification to say what he a…",FALSE,0,NA,2018-12-15 06:39:39,FALSE,NA,"1073829922878210048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kronkareshwar",12,TRUE,FALSE,NA,NA
"17","#Congress, #Left follow models of #corruption, inefficient governance: #Modi
https://t.co/g6rCRRys0B https://t.co/EYjbuOe7yL",FALSE,0,NA,2018-12-15 06:39:37,FALSE,NA,"1073829914539974656",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BawaHS",0,FALSE,FALSE,NA,NA
"18","#Congress, #Left follow models of #corruption, inefficient governance: #Modi
https://t.co/DowbYcO3oC https://t.co/rLTVQkOfcm",FALSE,0,NA,2018-12-15 06:38:42,FALSE,NA,"1073829687498022917",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","yespunjab",0,FALSE,FALSE,NA,NA
"19","RT @Aabekosar: Even high officials of #RAW working on #BalochistanDesk are fed up with #Modi and his team due to failed policy on #Balochis…",FALSE,0,NA,2018-12-15 06:38:38,FALSE,NA,"1073829668762124288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aabekosar",6,TRUE,FALSE,NA,NA
"20","RT @sanjaynirupam: Shocking ! #Modi Govt lied to Chief Justice of India. 
That's we demand #JPCforRafaleScam 
#ChowkidarPureChorHai https:/…",FALSE,0,NA,2018-12-15 06:38:07,FALSE,NA,"1073829540055650304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IftekharShap",576,TRUE,FALSE,NA,NA
