"","x"
"1","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"2","Has  modi lost his charm   Results2018  AssemblyElections2018  MadhyaPradeshElections2018  ResultsWithNDTV  "
"3","   Retweet if you want to trend Sir   not only on Twitter but also in 2019 elections     Modi hai to Desh hai              "
"4","    I always support ur views but I do believe that if  Hindus can t ge  "
"5","    India s  Modi stares at biggest election loss since coming to power   Reuters "
"6","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"7","    India s  Modi stares at biggest election loss since coming to power   Reuters "
"8","Choose wisely  Mr  Modi   Results2018  Modi  ModiGetsMallya  VijayMallya  MallyaExtraditionVerdict  "
"9","   Retweet if you want to trend Sir   not only on Twitter but also in 2019 elections     Modi hai to Desh hai              "
"10","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"11","   Best explanation why  Modi can t be defeated in  Election2019       "
"12","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"13","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"14","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"15"," India s  Modi stares at biggest election loss since coming to power   Reuters "
"16","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"17","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"18","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"19","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"20","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"21"," Hope Lawmakers Will Spend Time On Public Welfare  Not Their Parties   PM Modi   India  Delhi  Parliament  NaMo  Modi"
"22"," Again saying same its voters who needs to get matured  amp  look beyond their little personal gains all t  "
"23","Context   India s  Modi is to suffer humiliating defeats in state eleactions   Q  Will these results shape the upco  "
"24","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"25","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"26"," So is  Modi trying to decimate his PM Competitors  Yogi  Gadkari  Swaraj "
"27","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"28","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"29","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
