"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BrijMohanBhama: Congratulations to #INC for wonderful performance in State elections today. #BJP will be defeated in 2019 under dynamic…",FALSE,0,NA,2018-12-11 12:23:07,FALSE,NA,"1072466808911867904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","verman_tarun",1,TRUE,FALSE,NA,NA
"2","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:23:05,FALSE,NA,"1072466799411781632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gu83657761",83,TRUE,FALSE,NA,NA
"3","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:22:31,FALSE,NA,"1072466659661791232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajeshS75757150",83,TRUE,FALSE,NA,NA
"4","Congratulations to #INC for wonderful performance in State elections today. #BJP will be defeated in 2019 under dyn… https://t.co/b5UeCUgYcF",FALSE,1,NA,2018-12-11 12:22:28,TRUE,NA,"1072466644302213120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrijMohanBhama",1,FALSE,FALSE,NA,NA
"5","BJP is losing 12 out of 20 urban seats in Rajasthan, it won 19 of those in '13. Is urban middle class unhappy with… https://t.co/t2Rahu9ZJo",FALSE,0,NA,2018-12-11 12:22:11,TRUE,NA,"1072466573066158080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FinancialXpress",0,FALSE,FALSE,NA,NA
"6","RT @inquestioner: Nobody in any studio is calling @RahulGandhi , pappu today. Like a wise man had once said,  first they ignore you, then r…",FALSE,0,NA,2018-12-11 12:22:04,FALSE,NA,"1072466544167436288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MamtaJaggi",243,TRUE,FALSE,NA,NA
"7","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:21:55,FALSE,NA,"1072466508918505475",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","radhacharandas",83,TRUE,FALSE,NA,NA
"8","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:21:55,FALSE,NA,"1072466505487532032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","praveenpedapudi",83,TRUE,FALSE,NA,NA
"9","#BJP spokesmen are coming across as BIG looser on all TV channels as they are trying to discredit #RahulGandhi election tactic and efforts.",FALSE,0,NA,2018-12-11 12:21:42,FALSE,NA,"1072466453025177601",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SanjeevRC",0,FALSE,FALSE,NA,NA
"10","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:21:37,FALSE,NA,"1072466433970499588",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ritatornad",83,TRUE,FALSE,NA,NA
"11","RT @moi_artiste: Let me say this loud and clear. 
Thank you, @RahulGandhi 
Thank you, @INCIndia 
After four and a half years, for the first…",FALSE,0,NA,2018-12-11 12:21:37,FALSE,NA,"1072466430929584134",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashavinayaraj",16,TRUE,FALSE,NA,NA
"12","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:21:34,FALSE,NA,"1072466418258579456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rayalaratnam",83,TRUE,FALSE,NA,NA
"13","RT @JhaSanjay: #RahulGandhi; Hats off to you for being such a thorough gentleman, such a fine, decent human being, unperturbed and unruffle…",FALSE,0,NA,2018-12-11 12:21:03,FALSE,NA,"1072466290068127744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bmashraf74",83,TRUE,FALSE,NA,NA
