"","x"
"1","   Congratulations to  INC for wonderful performance in State elections today   BJP will be defeated in 2019 under dynamic "
"2","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"3","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"4","Congratulations to  INC for wonderful performance in State elections today   BJP will be defeated in 2019 under dyn  "
"5","BJP is losing 12 out of 20 urban seats in Rajasthan  it won 19 of those in  13  Is urban middle class unhappy with  "
"6","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"7","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"8","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"9"," BJP spokesmen are coming across as BIG looser on all TV channels as they are trying to discredit  RahulGandhi election tactic and efforts "
"10","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"11","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"12","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"13","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"14","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"15","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"16","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"17","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"18","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"19","Dear  RahulGandhi Ji we all love you  Jai Hind   INCIndia"
"20","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"21","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"22","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"23","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"24","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"25"," modi lehar par kehar now it s BJP mukt States  Congress  congratulations for your new innings  RahulGandhi"
"26","Winning isn t everything  but it beats anything that comes in second  Congratulation for the success   rahulgandhi  "
"27","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"28","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
