"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @kavita_tewari: Everyday 10,000 people are getting healthcare through #AyushmanBharat scheme 
It is 4.6 lakh in 6 weeks 
It may go upto…",FALSE,0,NA,2018-12-11 09:26:53,FALSE,NA,"1072422460547579906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sun_iin_night",181,TRUE,FALSE,NA,NA
"2","RT @drsshendre: Get ready for lot of jumlas from #modi. Few tears and Jan ka sevak dialogues are ready for today's scripts . Mitrooooon don…",FALSE,0,NA,2018-12-11 09:26:36,FALSE,NA,"1072422388145553409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rockymerijaan",3,TRUE,FALSE,NA,NA
"3","<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>What was the character name of #TamannaahBhatia in the movie #Bahubali ? Answer &amp; Win #RealmeU1 on… https://t.co/nPLtNXmEiQ",FALSE,1,NA,2018-12-11 09:26:34,TRUE,NA,"1072422377961725953",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","ImBhaskarKalita",1,FALSE,FALSE,NA,NA
"4","RT @diyajai01330403: #Modi sarkar's #buredin: Body blow to #BJP in states it ruled with majorities.

#Results2018 #AssemblyElections2018…",FALSE,0,NA,2018-12-11 09:26:12,FALSE,NA,"1072422286551060481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShivamRathodMP",1,TRUE,FALSE,NA,NA
"5","RT @Thesureshsharma: Moral of #AssemblyElections2018

- No more #Modi_wave 
- #EVMs working fine
- #ElectionCommissionOfIndia  is no more #…",FALSE,0,NA,2018-12-11 09:25:24,FALSE,NA,"1072422087325818881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ak_shamy06",70,TRUE,FALSE,NA,NA
"6","RT @Chemburstudio: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and must s…",FALSE,0,NA,2018-12-11 09:24:57,FALSE,NA,"1072421972003471360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","psgupta1",6,TRUE,FALSE,NA,NA
"7","RT @Chemburstudio: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and must s…",FALSE,0,NA,2018-12-11 09:24:04,FALSE,NA,"1072421748652564480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","satyaverma_knit",6,TRUE,FALSE,NA,NA
"8","RT @Chemburstudio: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and must s…",FALSE,0,NA,2018-12-11 09:23:51,FALSE,NA,"1072421694265049088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TejasGadiya",6,TRUE,FALSE,NA,NA
"9","RT @Chemburstudio: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and must s…",FALSE,0,NA,2018-12-11 09:22:39,FALSE,NA,"1072421394552668160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MuzzammilAap",6,TRUE,FALSE,NA,NA
"10","RT @Chemburstudio: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and must s…",FALSE,0,NA,2018-12-11 09:22:26,FALSE,NA,"1072421340035080193",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sharmanagendar",6,TRUE,FALSE,NA,NA
"11","RT @Chemburstudio: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and must s…",FALSE,0,NA,2018-12-11 09:22:04,FALSE,NA,"1072421246611177472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PreetiSMenon",6,TRUE,FALSE,NA,NA
"12","RT @EconomicTimes: .@RBI governor #UrjitPatel’s resignation a day before Parliament’s winter session comes as a shot in the arm for #Congre…",FALSE,0,NA,2018-12-11 09:21:57,FALSE,NA,"1072421219348217857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ammar_hamid",4,TRUE,FALSE,NA,NA
"13","Bhakts be like, ""This country doesn't deserve a Nationalist man like Modi."" #MadhyaPradeshElections2018… https://t.co/hl6W0h1cBI",FALSE,2,NA,2018-12-11 09:21:38,TRUE,NA,"1072421135873179648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thevarsteffy",0,FALSE,FALSE,NA,NA
"14","RT @Ya_2317: Followers of #BJP, take a lesson from these results and gear up for #Mission360+. Leaders need our wholehearted support.
For t…",FALSE,0,NA,2018-12-11 09:21:14,FALSE,NA,"1072421037290283008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manoj_gujaran",6,TRUE,FALSE,NA,NA
"15","#BJP #modi tell we mistake on #notebandi #gstcouncil #Devpeloment #jobs @narendramodi ji tell .
@RahulGandhi… https://t.co/pmxSojXp2s",FALSE,0,NA,2018-12-11 09:20:22,TRUE,NA,"1072420818481831936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manojbhamla",0,FALSE,FALSE,NA,NA
"16","RT @JhaSanjay: #Modi has destroyed our country. For him, #RBI is just collateral damage. #UrjitPatel",FALSE,0,NA,2018-12-11 09:20:20,FALSE,NA,"1072420809514328065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","younusakmogral",103,TRUE,FALSE,NA,NA
"17","RT @Thesureshsharma: Moral of #AssemblyElections2018

- No more #Modi_wave 
- #EVMs working fine
- #ElectionCommissionOfIndia  is no more #…",FALSE,0,NA,2018-12-11 09:19:55,FALSE,NA,"1072420703947943938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kalevidyasagar",70,TRUE,FALSE,NA,NA
"18","<ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4><ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>
Murmur of #dissent in #BJP 
Sanjay Kakde Bjp MP attacks #Modi , Says , “ Party has forgotten #development and m… https://t.co/hITjtny9Pg",FALSE,12,NA,2018-12-11 09:19:50,TRUE,NA,"1072420685190979585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chemburstudio",6,FALSE,FALSE,NA,NA
"19","RT @SanjaySDutt: After EC, CVC, CBI, ED, Lokpal &amp; SC, #Modi Govt destroys the autonomy &amp; credibility of one more institution, by forcing ex…",FALSE,0,NA,2018-12-11 09:18:50,FALSE,NA,"1072420432807116802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamuga_pillai",74,TRUE,FALSE,NA,NA
"20","RT @EconomicTimes: ""#Farmers don't care about how much @RahulGandhi knows about farming but would judge what all PM #Modi has done for them…",FALSE,0,NA,2018-12-11 09:17:16,FALSE,NA,"1072420036751564800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manjuna48743363",27,TRUE,FALSE,NA,NA
"21","Whether #Modi has become liability for BJP? #results2018",FALSE,0,NA,2018-12-11 09:15:49,FALSE,NA,"1072419674187620352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","newlifeonce",0,FALSE,FALSE,NA,NA
"22","#Modi sarkar's #buredin: Body blow to #BJP in states it ruled with majorities.

#Results2018 #AssemblyElections2018… https://t.co/moMw3bTNcy",FALSE,1,NA,2018-12-11 09:14:05,TRUE,NA,"1072419239594770434",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","diyajai01330403",1,FALSE,FALSE,NA,NA
"23","RT @vijucherian: #Congress' win in #Chhattisgarh, likely win in #Rajasthan &amp; neck-and-neck contest in #MadhyaPradesh shows that voters have…",FALSE,0,NA,2018-12-11 09:13:37,FALSE,NA,"1072419118626865152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pri1us",13,TRUE,FALSE,NA,NA
"24","RT @Thesureshsharma: If @BJP4India loses any of 3 states.

Then #Seculars &amp; liberals will say: ITS THE END OF #Modi WAVE

nd if #Congress l…",FALSE,0,NA,2018-12-11 09:12:34,FALSE,NA,"1072418856289927171",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnandKumarS1967",174,TRUE,FALSE,NA,NA
"25","RT @drshamamohd: Banker Uday Kotak says #demonetisation was poorly executed.

Economists, Businessmen, Bureaucrats, Bankers &amp; accomplished…",FALSE,0,NA,2018-12-11 09:10:55,FALSE,NA,"1072418439430578178",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kjobvarghese",179,TRUE,FALSE,NA,NA
"26","PUSPRAJGARH , MP
BJP leading by 27 votes only. 
- 2.30pm Update. 

#MadhyaPradesh #ElectionResults2018 #Modi #BJP #Congress",FALSE,0,NA,2018-12-11 09:10:43,FALSE,NA,"1072418390608887808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tweetsbydivyu",0,FALSE,FALSE,NA,NA
"27","@INCIndia leading @BJP4India in all 5 states. EVMs suddenly started working fine. @narendramodi agent Election Comm… https://t.co/RIXC5oqkCk",FALSE,1,"INCIndia",2018-12-11 09:10:04,TRUE,NA,"1072418225655300096","1153045459","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sugarzback",0,FALSE,FALSE,NA,NA
"28","Tell me something, are we like #Modi of india trying to freeze corrupt money by this? https://t.co/2wQm1rbbPo",FALSE,0,NA,2018-12-11 09:08:11,FALSE,NA,"1072417751615053825",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mobmoja",0,FALSE,FALSE,NA,NA
"29","@abpnewshindi I agree with Mr. Sanjay Raut... Ye 2019 me Rahul + Opposition + Bivishan VS #Modi hoga. Chances are......",FALSE,0,"abpnewshindi",2018-12-11 09:07:01,FALSE,"1072401120008527872","1072417459154628608","333888813","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Amit28Mishra",0,FALSE,FALSE,NA,NA
"30","RT @JhaSanjay: #Modi ‘s logic: It is called the Reserve Bank of India, so I will take their reserves. Simple!",FALSE,0,NA,2018-12-11 09:04:05,FALSE,NA,"1072416719321423873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gahlotshagufta",144,TRUE,FALSE,NA,NA
