"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My favourite moment from #ElectionResults2018 : @sardesairajdeep on @IndiaToday asking ‘where is my friend @sambitswaraj’ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #RahulGandhi",FALSE,0,NA,2018-12-11 11:21:09,FALSE,NA,"1072451215697608704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WajahatJilani",0,FALSE,FALSE,NA,NA
"2","RT @Thesureshsharma: If @BJP4India loses any of 3 states.

Then #Seculars &amp; liberals will say: ITS THE END OF #Modi WAVE

nd if #Congress l…",FALSE,0,NA,2018-12-11 11:21:09,FALSE,NA,"1072451215303286784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjitSom2525",191,TRUE,FALSE,NA,NA
"3","RT @inquestioner: Nobody in any studio is calling @RahulGandhi , pappu today. Like a wise man had once said,  first they ignore you, then r…",FALSE,0,NA,2018-12-11 11:21:07,FALSE,NA,"1072451206054854656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijaymarley143",208,TRUE,FALSE,NA,NA
"4","RT @Thesureshsharma: Moral of #AssemblyElections2018

- No more #Modi_wave 
- #EVMs working fine
- #ElectionCommissionOfIndia  is no more #…",FALSE,0,NA,2018-12-11 11:21:02,FALSE,NA,"1072451186459115520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjitSom2525",88,TRUE,FALSE,NA,NA
"5","Despite high voltage election campaign by both Prime Minister Narendra Modi<U+200B> BJP national president #AmitShah and B… https://t.co/39Fw464kuc",FALSE,0,NA,2018-12-11 11:20:53,TRUE,NA,"1072451147892514816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OmmcomNews",0,FALSE,FALSE,NA,NA
"6","Congrats to #RahulGandhi #congress for winning Hindu and Hindi heartland.. #AaRahiHaiCongress #AssemblyElection2018 #Results2018",FALSE,0,NA,2018-12-11 11:19:53,FALSE,NA,"1072450894204231681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nareshyadav74",0,FALSE,FALSE,NA,NA
"7","RT @inquestioner: Nobody in any studio is calling @RahulGandhi , pappu today. Like a wise man had once said,  first they ignore you, then r…",FALSE,0,NA,2018-12-11 11:19:43,FALSE,NA,"1072450854102417409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arian290360",208,TRUE,FALSE,NA,NA
"8","Now this is hilarious !!
Congratulations #RahulGandhi #INC on winning 3 big states!! https://t.co/ugUsP3QVy1",FALSE,0,NA,2018-12-11 11:19:41,FALSE,NA,"1072450844593934336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twittsuyash0409",0,FALSE,FALSE,NA,NA
"9","RT @ChaudharyVipi18: One thing is clear now..indians are capable of electing pappu as PM
#ElectionResults 
#RahulGandhi 
#ElectionResults20…",FALSE,0,NA,2018-12-11 11:19:33,FALSE,NA,"1072450813832978432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jigu106",1,TRUE,FALSE,NA,NA
"10","RT @Thesureshsharma: If @BJP4India loses any of 3 states.

Then #Seculars &amp; liberals will say: ITS THE END OF #Modi WAVE

nd if #Congress l…",FALSE,0,NA,2018-12-11 11:19:13,FALSE,NA,"1072450728499785728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ReshmaLalwani6",191,TRUE,FALSE,NA,NA
